Applied time(seconds),Measured potential(v)
1310.0,-0.00020191500000000002
1320.0,-0.0001923
1330.0,-0.000163455
1340.0,-0.0005095960000000001
1350.0,-0.0001923
1360.0,-0.00021153
1370.0,-7.6920168e-05
1380.0,-0.000124995
1390.0,-0.00015384
1400.0,-0.0001923
1410.0,-0.00017307000000000002
1420.0,-0.0001923
1430.0,-0.000182685
1440.0,-0.000182685
1450.0,-0.00017307000000000002
1460.0,-0.00015384
1470.0,-0.000182685
1480.0,-0.000182685
1490.0,-0.0001923
1500.0,-0.0001923
1510.0,-0.00017307000000000002
1520.0,-0.000163455
1530.0,-0.000163455
1540.0,-0.000182685
1550.0,-0.00036537
1560.0,-0.00040383000000000004
1570.0,-0.00036537
1580.0,-0.000528826
1590.0,-0.00026922000000000003
1600.0,-6.7305144e-05
1610.0,-0.000730741
1620.0,-0.0011634170000000001
1630.0,-0.0030960370000000003
1640.0,-0.001624938
1650.0,0.000557671
1660.0,0.0008845820000000001
1670.0,0.000749971
1680.0,0.000490366
1690.0,0.000355755
1700.0,0.000182685
1710.0,-0.000221145
1720.0,2.8845062e-05
1730.0,0.00028845
1740.0,0.00024999
1750.0,0.000144225
1760.0,8.6535184e-05
1770.0,-9.615021e-06
1780.0,-9.615021e-06
1790.0,-5.7690124e-05
1800.0,-0.00023076000000000002
1810.0,-0.000240375
1820.0,-9.6150208e-05
1830.0,-9.6150208e-05
1840.0,-2.8845062e-05
1850.0,-8.6535184e-05
1860.0,-0.000124995
1870.0,-0.00013461000000000001
1880.0,-0.000144225
1890.0,-0.000182685
1900.0,-0.000163455
1910.0,-0.00017307000000000002
1920.0,-0.00015384
1930.0,-0.000144225
1940.0,-0.000144225
1950.0,-0.000144225
1960.0,-0.00021153
1970.0,-0.00015384
1980.0,-0.00015384
1990.0,-0.00013461000000000001
2000.0,-0.00011538000000000001
2010.0,-0.000144225
2020.0,-0.000163455
2030.0,-0.00015384
2040.0,-0.000163455
2050.0,-0.00015384
2060.0,-0.00015384
2070.0,-0.000163455
2080.0,-0.000221145
2090.0,-0.00013461000000000001
2100.0,9.615021e-06
2110.0,-0.000105765
2120.0,-0.00026922000000000003
2130.0,-0.00017307000000000002
2140.0,-0.000144225
2150.0,-0.00015384
2160.0,-0.000432676
2170.0,-0.00047113600000000004
2180.0,-0.000163455
2190.0,-3.8460084e-05
2200.0,-7.6920168e-05
2210.0,-0.000105765
2220.0,-0.00015384
2230.0,-0.00015384
2240.0,-0.00015384
2250.0,-0.00015384
2260.0,-0.00030768
2270.0,3.8460084e-05
2280.0,-0.00024999
2290.0,-0.00021153
2300.0,-0.001009577
2310.0,-0.0003846
2320.0,-0.000221145
2330.0,9.615021e-06
2340.0,-1.9230042e-05
2350.0,-5.7690124e-05
2360.0,-0.000163455
2370.0,-0.000124995
2380.0,-0.000124995
2390.0,-0.00015384
2400.0,-0.000278835
2410.0,-0.00028845
2420.0,-0.00013461000000000001
2430.0,-0.0001923
2440.0,-0.0018556990000000002
2450.0,-0.00034614000000000004
2460.0,0.000182685
2470.0,0.00011538000000000001
2480.0,1.9230042e-05
2490.0,-1.9230042e-05
2500.0,-6.7305144e-05
2510.0,-9.6150208e-05
2520.0,-0.000144225
2530.0,-0.00013461000000000001
2540.0,-0.000144225
2550.0,-0.00015384
2560.0,-0.000144225
2570.0,-0.000182685
2580.0,-0.0001923
2590.0,-0.00023076000000000002
2600.0,-0.00020191500000000002
2610.0,-0.00017307000000000002
2620.0,-0.00017307000000000002
2630.0,-0.000144225
2640.0,-0.0001923
2650.0,-0.000182685
2660.0,-0.0001923
2670.0,-0.000528826
2680.0,-0.00024999
2690.0,-0.000221145
2700.0,-0.000221145
2710.0,-9.6150208e-05
2720.0,-0.0017691640000000002
2730.0,0.000240375
2740.0,0.000240375
2750.0,0.0
2760.0,-0.000124995
2770.0,-9.6150208e-05
2780.0,-9.6150208e-05
2790.0,-0.000144225
2800.0,-0.000221145
2810.0,-0.000144225
2820.0,-0.000749971
2830.0,-0.00013461000000000001
2840.0,-9.615021e-06
2850.0,-0.00026922000000000003
2860.0,-1.9230042e-05
2870.0,-0.00011538000000000001
2880.0,-0.00011538000000000001
2890.0,-0.000124995
2900.0,-0.00013461000000000001
2910.0,-0.00021153
2920.0,-0.00021153
2930.0,-0.000259605
2940.0,-0.00017307000000000002
2950.0,-0.00017307000000000002
2960.0,-0.000182685
2970.0,-0.000182685
2980.0,-0.000182685
2990.0,-0.000182685
3000.0,-0.00023076000000000002
3010.0,-0.001615323
3020.0,0.000394215
3030.0,0.000221145
3040.0,2.8845062e-05
3050.0,-5.7690124e-05
3060.0,-0.000105765
3070.0,-0.00013461000000000001
3080.0,-0.000432676
3090.0,-0.000182685
3100.0,-0.00021153
3110.0,-0.001096112
3120.0,0.00032691
3130.0,0.00017307000000000002
3140.0,0.0
3150.0,-7.6920168e-05
3160.0,-0.00011538000000000001
3170.0,-0.000163455
3180.0,-0.00015384
3190.0,-0.00015384
3200.0,-0.000144225
3210.0,-0.00015384
3220.0,-0.00015384
3230.0,-0.00017307000000000002
3240.0,-0.00024999
3250.0,-0.00023076000000000002
3260.0,-0.000163455
3270.0,-0.00015384
3280.0,-0.00017307000000000002
3290.0,-0.0001923
3300.0,-0.000182685
3310.0,-0.000144225
3320.0,-0.000144225
3330.0,-0.00015384
3340.0,-0.00017307000000000002
3350.0,-0.00015384
3360.0,-0.0001923
3370.0,-0.000182685
3380.0,-0.00028845
3390.0,-0.00015384
3400.0,-0.00020191500000000002
3410.0,-0.000182685
3420.0,-0.00013461000000000001
3430.0,-0.00015384
3440.0,-0.000144225
3450.0,-0.00046152100000000006
3460.0,-0.000144225
3470.0,-0.000105765
3480.0,-0.00024999
3490.0,-0.00015384
3500.0,-0.000240375
3510.0,-0.000163455
3520.0,-0.00020191500000000002
3530.0,-0.001692244
3540.0,-0.000846122
3550.0,0.00017307000000000002
3560.0,0.00017307000000000002
3570.0,0.000124995
3580.0,9.615021e-06
3590.0,-9.6150208e-05
3600.0,-2.8845062e-05
3610.0,-3.8460084e-05
3620.0,-6.7305144e-05
3630.0,-4.8075104e-05
3640.0,-0.00040383000000000004
3650.0,-0.000557671
3660.0,0.00030768
3670.0,0.000105765
3680.0,0.00011538000000000001
3690.0,3.8460084e-05
3700.0,-6.7305144e-05
3710.0,-8.6535184e-05
3720.0,-0.000105765
3730.0,-0.00011538000000000001
3740.0,-0.00013461000000000001
3750.0,-0.000144225
3760.0,-0.00015384
3770.0,-0.000144225
3780.0,-0.000163455
3790.0,-0.000163455
3800.0,-0.00015384
3810.0,-0.00015384
3820.0,-0.000163455
3830.0,-0.00017307000000000002
3840.0,-0.000182685
3850.0,-0.000163455
3860.0,-0.000182685
3870.0,-0.000182685
3880.0,-0.000182685
3890.0,-0.000163455
3900.0,-0.00017307000000000002
3910.0,-0.00015384
3920.0,-0.00017307000000000002
3930.0,-0.00020191500000000002
3940.0,-0.00017307000000000002
3950.0,-0.000163455
3960.0,-0.0001923
3970.0,-0.00017307000000000002
3980.0,-0.000221145
3990.0,-0.00024999
4000.0,-0.0013557180000000001
4010.0,0.000903812
4020.0,0.001144187
4030.0,0.00015384
4040.0,-0.000298065
4050.0,-0.00032691
4060.0,-0.000182685
4070.0,-0.00017307000000000002
4080.0,-0.000163455
4090.0,-0.000163455
4100.0,-0.00015384
4110.0,-0.00021153
4120.0,-0.00021153
4130.0,-0.000163455
4140.0,-0.00015384
4150.0,-0.000124995
4160.0,-0.000144225
4170.0,-0.000240375
4180.0,-0.001730704
4190.0,0.000163455
4200.0,7.6920168e-05
4210.0,-4.8075104e-05
4220.0,-0.00013461000000000001
4230.0,-0.000144225
4240.0,-0.00015384
4250.0,-8.6535184e-05
4260.0,-0.0003846
4270.0,-9.6150208e-05
4280.0,-8.6535184e-05
4290.0,-7.6920168e-05
4300.0,-0.000182685
4310.0,-0.00020191500000000002
4320.0,-0.00013461000000000001
4330.0,-7.6920168e-05
4340.0,-0.00021153
4350.0,-0.000423061
4360.0,-0.000221145
4370.0,-6.7305144e-05
4380.0,-0.00017307000000000002
4390.0,-0.000182685
4400.0,-0.000259605
4410.0,-0.000144225
4420.0,-0.000124995
4430.0,-0.00015384
4440.0,-0.00017307000000000002
4450.0,-0.000163455
4460.0,-0.00020191500000000002
4470.0,-0.00017307000000000002
4480.0,-0.000182685
4490.0,-0.00017307000000000002
4500.0,-0.00017307000000000002
4510.0,-0.000163455
4520.0,-0.00013461000000000001
4530.0,-0.00017307000000000002
4540.0,-0.00017307000000000002
4550.0,-0.000163455
4560.0,-0.000163455
4570.0,-0.00017307000000000002
4580.0,-0.000163455
4590.0,-0.000163455
4600.0,-0.00017307000000000002
4610.0,-0.000163455
4620.0,-0.00017307000000000002
4630.0,-0.000182685
4640.0,-0.000182685
4650.0,-0.00017307000000000002
4660.0,-0.00017307000000000002
4670.0,-0.000163455
4680.0,-0.00017307000000000002
4690.0,-0.00017307000000000002
4700.0,-0.000163455
4710.0,-0.000144225
4720.0,-0.000163455
4730.0,-0.000182685
4740.0,-0.00017307000000000002
4750.0,-0.000163455
